Sent,Shot,PromptID,Prompt
false,7,2,"16:9 Wide — Complex: Poster for “Midnight Alley.” Jack Sullivan standing in rain-slick alley under lamppost, Vivienne Cross (femme fatale) watching from shadows. Title centered at bottom, tagline above: “The Truth Never Sleeps.” Jack and Vivienne names top, credits block bottom. Noir shadowed palette."
false,8,1,"9:16 Close-up — Simple: Pop art poster “Color Clash.” Halftone close-up of bold heroine Lana Rivers in neon magenta, flat graphic style. Title in Warhol-inspired block letters at bottom. Lana’s name aligned top, tagline: “Every Shade Tells a Story.” Billing block bottom. Bright comic palette."
false,8,2,"16:9 Wide — Complex: Poster for “Color Clash.” Lana Rivers with ensemble cast Diego Marlowe and Sophia Grant, each in contrasting color panels. Title bold at bottom, tagline across top: “Life in Pop Art Motion.” Names aligned top, credits block bottom. Vibrant graphic palette."
false,9,1,"9:16 Close-up — Simple: Psychedelic poster “Cosmic Riffs.” Surreal close-up of musician Axel Storm, face morphing into fractal spirals. Title in swirling neon type at bottom. Axel’s name aligned top, tagline: “The Sound Beyond Reality.” Billing block bottom. Psychedelic glow."
false,9,2,"16:9 Wide — Complex: Poster for “Cosmic Riffs.” Axel Storm leading bandmates Nova Blaze and Orion Kade on surreal cosmic stage dissolving into neon galaxy. Title at bottom, tagline above: “Music That Shatters the Stars.” Names aligned top, credits block bottom. Vibrant kaleidoscope palette."
false,10,1,"9:16 Close-up — Simple: Horror B-movie poster “Terror From the Swamp.” Close-up of scream queen Clara Monroe with terrified wide eyes, lurid green glow. Title in dripping pulp-style font at bottom. Clara’s name aligned top, tagline: “It Came From the Depths.” Billing block bottom. Campy horror palette."
false,10,2,"16:9 Wide — Complex: Poster for “Terror From the Swamp.” Clara Monroe running from giant swamp monster with townsfolk fleeing in panic. Title bold across bottom, tagline above: “No One Escapes the Mire.” Clara’s name + supporting cast aligned top, credits block bottom. Lurid purple-green horror tones."
false,11,1,"9:16 Close-up — Simple: Marvel-style poster “Eternal Guardians.” Close-up of superhero Adrian Cross with glowing aura, determined expression. Title in bold metallic block font at bottom. Adrian’s name aligned top, tagline: “Together, They Stand Eternal.” Billing block bottom. Bright heroic palette."
false,11,2,"16:9 Wide — Complex: Poster for “Eternal Guardians.” Adrian Cross leading superhero team Selene Drake, Orion Vega, Juno Reyes on apocalyptic battlefield. Title bold bottom-center, tagline across top: “A New Age of Heroes.” Names aligned top, credits block bottom. Epic glowing colors."
false,12,1,"9:16 Close-up — Simple: DC-style gritty poster “Shadows of Vengeance.” Close-up of brooding vigilante Damien Veyne, rain streaking across his masked face. Title in sharp serif bold font at bottom. Damien’s name aligned top, tagline: “Darkness is Justice.” Billing block bottom. Harsh shadows."
false,12,2,"16:9 Wide — Complex: Poster for “Shadows of Vengeance.” Damien Veyne perched on a rooftop, storm clouds swirling, facing villain Malik Graves below. Title centered at bottom, tagline across top: “Vengeance Casts a Long Shadow.” Damien and Malik names top, credits block bottom. Dark moody palette."
false,13,1,"9:16 Close-up — Simple: Space opera poster “Starbound Legacy.” Close-up of young hero Kaelen Drax holding glowing blade, stars reflected in eyes. Title in luminous serif font at bottom. Kaelen’s name aligned top, tagline: “The Stars Remember.” Billing block bottom. Celestial glow."
false,13,2,"16:9 Wide — Complex: Poster for “Starbound Legacy.” Kaelen Drax dueling villain Veyra Kael in galactic battle, starfleet in background. Title bottom-center in glowing serif, tagline across top: “Destiny Written in the Cosmos.” Kaelen and Veyra names aligned top, credits block bottom. Galactic palette."
false,14,1,"9:16 Close-up — Simple: Action poster “Turbo Fury.” Close-up of driver Dante Cruz, sweat and neon reflections across his face. Title in metallic italic font at bottom. Dante’s name aligned top, tagline: “Speed Has No Limits.” Billing block bottom. Neon chrome tones."
false,14,2,"16:9 Wide — Complex: Poster for “Turbo Fury.” Dante Cruz leading his racing crew Maya Storm and Rico Valdez in explosive car jump mid-street race. Title large at bottom, tagline across top: “Ride or Burn Out.” Crew names aligned top, credits block bottom. High-octane neon glow."
false,15,1,"9:16 Close-up — Simple: Animated family poster “Wonderville.” Close-up of cheerful character Lumi Spark, glowing eyes wide with wonder. Title in playful rounded font at bottom. Lumi’s name aligned top, tagline: “Every Day is Magic.” Billing block bottom. Bright whimsical palette."
false,15,2,"16:9 Wide — Complex: Poster for “Wonderville.” Lumi Spark with friends Pip, Zara, Milo exploring colorful magical town. Title bold bottom-center, tagline across top: “Adventure Begins Here.” Names aligned top, credits block bottom. Disney-style vibrant palette."
false,16,1,"9:16 Close-up — Simple: DreamWorks-style poster “Happy Chaos.” Goofy expression close-up of character Benny Bumble, cartoony exaggeration. Title in fun bold sans-serif at bottom. Benny’s name aligned top, tagline: “Family is the Greatest Adventure.” Billing block bottom. Playful tones."
false,16,2,"16:9 Wide — Complex: Poster for “Happy Chaos.” Benny Bumble with family Lola, Timmy, Grandpa Gus in wild slapstick chase scene. Title bold bottom-center, tagline above: “One House, Endless Laughs.” Names aligned top, credits block bottom. Whimsical family palette."
false,17,1,"9:16 Close-up — Simple: Spy thriller poster “License to Thrill.” Close-up of suave agent Julian Drake in tuxedo, holding pistol, neon casino lights reflecting in eyes. Title in sleek serif font at bottom. Julian’s name aligned top, tagline: “The World is Not Enough.” Billing block bottom. Sleek stylish tones."
false,17,2,"16:9 Wide — Complex: Poster for “License to Thrill.” Julian Drake at casino table with femme fatale Selina Frost, sports car chase in background. Title bold bottom-center, tagline across top: “Every Bet is Life or Death.” Julian and Selina names top, credits block bottom. Spy-chic palette."
false,18,1,"9:16 Close-up — Simple: Assassin poster “The Last Mark.” Close-up of hitman Victor Kael, dark suit, eyes glowing under neon lights. Title in minimalist bold font at bottom. Victor’s name aligned top, tagline: “Every Bullet Tells a Story.” Billing block bottom. Cold noir palette."
false,18,2,"16:9 Wide — Complex: Poster for “The Last Mark.” Victor Kael walking down neon-lit corridor, gun in hand, surrounded by fallen enemies. Title bold bottom-center, tagline across top: “No Past. No Future. Only the Mark.” Victor’s name aligned top, credits block bottom. Minimalist neon noir."
false,19,1,"9:16 Close-up — Simple: Spy-action poster “Shadow Protocol.” Close-up of secret agent Ethan Cross, reflection of mission mask in his eyes. Title in bold italic sans-serif at bottom. Ethan’s name aligned top, tagline: “The Impossible is Just the Beginning.” Billing block bottom. Tense slick palette."
false,19,2,"16:9 Wide — Complex: Poster for “Shadow Protocol.” Ethan Cross dangling from skyscraper, helicopter chase above. Title bold bottom-center, tagline across top: “Trust No One.” Ethan’s name aligned top, credits block bottom. Spy-thriller tones."
false,20,1,"9:16 Close-up — Simple: Sci-fi fantasy poster “Lumina.” Close-up of alien-human hybrid Naara Veyra, glowing blue bioluminescent markings, eyes shining. Title in luminous futuristic serif at bottom. Naara’s name aligned top, tagline: “The Light Within Awakens.” Billing block bottom. Radiant neon glow."
false,20,2,"16:9 Wide — Complex: Poster for “Lumina.” Naara Veyra exploring glowing jungle with creatures beside ally Orin Tal. Title bold bottom-center, tagline across top: “A World Beyond the Stars.” Naara and Orin names aligned top, credits block bottom. Bioluminescent sci-fi palette."
false,21,1,"9:16 Close-up — Simple: Minimalist poster “Less is More.” Close-up of heroine Amara Steele in profile silhouette, flat pastel background. Title in thin sans-serif font at bottom. Amara’s name aligned top, tagline: “Silence Speaks Louder.” Billing block bottom. Clean minimal palette."
false,21,2,"16:9 Wide — Complex: Poster for “Less is More.” Amara Steele walking alone across vast empty desert, tiny figure in negative space. Title bold bottom-center, tagline above: “Every Step is a Story.” Amara’s name top aligned, credits block bottom. Minimal flat tones."
false,22,1,"9:16 Close-up — Simple: Surrealist poster “Eternal Mirage.” Close-up of dreamer Lucien Vale, half of his face melting like wax into golden sand. Title in abstract serif font at bottom. Lucien’s name aligned top, tagline: “Dreams Never Die.” Billing block bottom. Surreal warm haze."
false,22,2,"16:9 Wide — Complex: Poster for “Eternal Mirage.” Lucien Vale wandering desert filled with giant melting clocks and distorted skies. Title bold bottom, tagline above: “Where Reality Ends, Dreams Begin.” Lucien’s name aligned top, credits block bottom. Dali-inspired surreal palette."
false,23,1,"9:16 Close-up — Simple: Artistic poster “Through the Veil.” Double exposure close-up of actress Selene Ardent, her face overlaid with forest trees. Title in modern serif font at bottom. Selene’s name aligned top, tagline: “Every Soul Holds Two Worlds.” Billing block bottom. Ethereal tones."
false,23,2,"16:9 Wide — Complex: Poster for “Through the Veil.” Selene Ardent standing in city skyline dissolving into forest landscape. Title bold bottom, tagline across top: “Nature and Memory Collide.” Selene’s name aligned top, credits block bottom. Dreamlike layered palette."
false,24,1,"9:16 Close-up — Simple: Vaporwave poster “Lost in Signal.” Close-up of youth Kieran Flux bathed in neon pink-blue CRT glow, glitch effects on face. Title in retro grid font at bottom. Kieran’s name aligned top, tagline: “The Future is a Broken Signal.” Billing block bottom. Vaporwave tones."
false,24,2,"16:9 Wide — Complex: Poster for “Lost in Signal.” Kieran Flux in neon-lit cyber city, VHS glitches warping skyscrapers. Title bold bottom-center, tagline above: “Reality Distorts.” Kieran’s name aligned top, credits block bottom. Cyber-vaporwave palette."
false,25,1,"9:16 Close-up — Simple: Horror poster “Broken Code.” Distorted close-up of Maya Crowe, face glitching with static and pixel tears. Title in cracked digital font at bottom. Maya’s name aligned top, tagline: “The Signal is Death.” Billing block bottom. Distorted digital horror tones."
false,25,2,"16:9 Wide — Complex: Poster for “Broken Code.” Maya Crowe in haunted glitching room, screens flickering with ghostly faces. Title bold bottom, tagline above: “Every Error Has a Price.” Maya’s name aligned top, credits block bottom. Glitch horror palette."
false,26,1,"9:16 Close-up — Simple: Abstract poster “Fragmented Realities.” Close-up of Niko Veyran, face split into angular geometric shards, bold color contrasts. Title in sharp modern font at bottom. Niko’s name aligned top, tagline: “Shattered Worlds Collide.” Billing block bottom. Abstract tones."
false,26,2,"16:9 Wide — Complex: Poster for “Fragmented Realities.” Niko Veyran standing among colossal floating geometric shapes, fractured sky. Title bold bottom-center, tagline across top: “Chaos Takes Form.” Niko’s name aligned top, credits block bottom. Geometric abstract palette."
false,27,1,"9:16 Close-up — Simple: Futuristic poster “Lightform.” Close-up of Auriel Kaine, holographic face shimmering with light beams. Title in glowing digital font at bottom. Auriel’s name aligned top, tagline: “The Future is a Projection.” Billing block bottom. Hologram tones."
false,27,2,"16:9 Wide — Complex: Poster for “Lightform.” Auriel Kaine walking through hologram cityscape, buildings flickering with shifting light. Title bold bottom, tagline above: “When Reality is Light.” Auriel’s name aligned top, credits block bottom. Futuristic glow."
false,28,1,"9:16 Close-up — Simple: Graffiti poster “Wall of Voices.” Close-up of street rebel Diego Cruz, spray can in hand, neon paint dripping on his face. Title in graffiti-style font at bottom. Diego’s name aligned top, tagline: “Every Wall Speaks.” Billing block bottom. Urban neon palette."
false,28,2,"16:9 Wide — Complex: Poster for “Wall of Voices.” Diego Cruz painting massive mural alongside Rosa Vega, street lit in neon haze. Title bold bottom-center, tagline across top: “The Streets Remember.” Diego and Rosa names aligned top, credits block bottom. Graffiti tones."
false,29,1,"9:16 Close-up — Simple: Ukiyo-e style poster “Eternal Wave.” Painted close-up of samurai Kenji Arata with katana, brushstroke textures. Title in calligraphic style at bottom. Kenji’s name aligned top, tagline: “Honor Flows Like Water.” Billing block bottom. Ink-wave palette."
false,29,2,"16:9 Wide — Complex: Poster for “Eternal Wave.” Kenji Arata battling foes in painted storm waves, ukiyo-e style composition. Title bold bottom-center, tagline across top: “The Sea Remembers the Warrior.” Kenji’s name aligned top, credits block bottom. Traditional Japanese palette."
false,30,1,"9:16 Close-up — Simple: Steampunk poster “Clockwork Empire.” Close-up of inventor Alaric Dross, goggles reflecting gears and steam. Title in brass-industrial font at bottom. Alaric’s name aligned top, tagline: “Every Gear Holds Power.” Billing block bottom. Brass & smoke palette."
false,30,2,"16:9 Wide — Complex: Poster for “Clockwork Empire.” Alaric Dross and ally Clara Hensley standing in vast Victorian steampunk city, gears and airships above. Title bold bottom-center, tagline across top: “A Machine to Rule Them All.” Names aligned top, credits block bottom. Steampunk tones."
false,31,1,"9:16 Close-up — Simple: Anime-style poster “Celestial Hearts.” Close-up of heroine Aiko Hanari, glowing eyes filled with determination, dynamic anime linework. Title in bold stylized kanji-inspired font at bottom. Aiko’s name aligned top, tagline: “Our Spirits Will Rise.” Billing block bottom. Vibrant anime palette."
false,31,2,"16:9 Wide — Complex: Poster for “Celestial Hearts.” Aiko Hanari flying across sky with comrades Ryu Takeda and Mei Sora, glowing powers clashing with enemies. Title bottom-center in anime font, tagline across top: “A Battle Written in the Stars.” Names aligned top, credits block bottom. Epic anime palette."
false,32,1,"9:16 Close-up — Simple: K-drama poster “Winter Sonata.” Close-up of actress Ji-eun Park, snowflakes on her face, soft lens glow. Title in elegant cursive at bottom. Ji-eun’s name aligned top, tagline: “Love in Every Snowfall.” Billing block bottom. Romantic winter palette."
false,32,2,"16:9 Wide — Complex: Poster for “Winter Sonata.” Ji-eun Park and Min-ho Choi walking hand-in-hand under snowy city lights. Title bottom-center, tagline across top: “Two Hearts, One Winter.” Ji-eun and Min-ho names aligned top, credits block bottom. Soft pastel tones."
false,33,1,"9:16 Close-up — Simple: French New Wave poster “Breathless Nights.” Close-up of Camille Laurent, cigarette smoke curling, soft monochrome. Title in minimalist sans-serif font at bottom. Camille’s name aligned top, tagline: “Paris After Midnight.” Billing block bottom. Black-and-white palette."
false,33,2,"16:9 Wide — Complex: Poster for “Breathless Nights.” Camille Laurent with lover Jean-Claude Marais on quiet Paris street corner, dim streetlight glow. Title bottom-center, tagline across top: “Every Breath Holds a Secret.” Camille and Jean-Claude names aligned top, credits block bottom. Monochrome tones."
false,34,1,"9:16 Close-up — Simple: German Expressionist poster “Cabinet of Shadows.” Close-up of villain Erich Nacht, angular shadows on his sharp features. Title in jagged gothic font at bottom. Erich’s name aligned top, tagline: “Fear Lives in Angles.” Billing block bottom. Stark black-and-white palette."
false,34,2,"16:9 Wide — Complex: Poster for “Cabinet of Shadows.” Erich Nacht looming over jagged skyline, distorted buildings in stark contrast. Title bottom-center, tagline across top: “The City Knows No Light.” Erich’s name aligned top, credits block bottom. Expressionist angular palette."
false,35,1,"9:16 Close-up — Simple: Giallo horror poster “Whispered Scream.” Close-up of masked killer Alessandro Nero, knife gleaming with blood reflection. Title in cracked serif font at bottom. Alessandro’s name aligned top, tagline: “Every Secret Cuts Deep.” Billing block bottom. Red-yellow palette."
false,35,2,"16:9 Wide — Complex: Poster for “Whispered Scream.” Alessandro Nero stalking victim Lucia Moretti in dim crime scene, yellow streetlight glow. Title bottom-center, tagline across top: “Murder Speaks Louder Than Words.” Alessandro and Lucia names aligned top, credits block bottom. Giallo horror tones."
false,36,1,"9:16 Close-up — Simple: Hong Kong action poster “Dragon Fire.” Close-up of martial cop Kai Wong, mid-punch, sweat flying. Title in bold angular font at bottom. Kai’s name aligned top, tagline: “Honor Burns Bright.” Billing block bottom. Neon urban palette."
false,36,2,"16:9 Wide — Complex: Poster for “Dragon Fire.” Kai Wong fighting criminals on rooftop with ally Mei Lin, neon skyline behind. Title bold bottom-center, tagline across top: “Justice in Every Strike.” Kai and Mei names aligned top, credits block bottom. Hong Kong neon palette."
false,37,1,"9:16 Close-up — Simple: Soviet constructivist poster “Red Dawn.” Close-up of worker hero Anya Volkov, face framed by bold red geometric rays. Title in blocky sans-serif at bottom. Anya’s name aligned top, tagline: “The People Rise.” Billing block bottom. Red-black palette."
false,37,2,"16:9 Wide — Complex: Poster for “Red Dawn.” Anya Volkov leading mass of workers, angular constructivist lines and banners. Title bottom-center, tagline across top: “Strength in Unity.” Anya’s name aligned top, credits block bottom. Propaganda-style palette."
false,38,1,"9:16 Close-up — Simple: Día de los Muertos poster “Viva la Vida.” Close-up of celebrant Isabela Cruz, face painted in vibrant skull design. Title in ornate festival font at bottom. Isabela’s name aligned top, tagline: “Every Spirit Lives On.” Billing block bottom. Colorful festival palette."
false,38,2,"16:9 Wide — Complex: Poster for “Viva la Vida.” Isabela Cruz leading parade of skeleton dancers, marigold petals filling the street. Title bold bottom-center, tagline across top: “Life is the Celebration.” Isabela’s name aligned top, credits block bottom. Vibrant Mexican palette."
false,39,1,"9:16 Close-up — Simple: African tribal art poster “Echoes of the Ancients.” Close-up of warrior Nia Kamanzi, face painted with tribal patterns, earthy tones. Title in carved-texture font at bottom. Nia’s name aligned top, tagline: “The Ancestors Speak.” Billing block bottom. Tribal palette."
false,39,2,"16:9 Wide — Complex: Poster for “Echoes of the Ancients.” Nia Kamanzi leading tribal ceremony, fire circle, masks glowing. Title bold bottom-center, tagline across top: “A Legacy Written in Fire.” Nia’s name aligned top, credits block bottom. African tribal palette."
false,40,1,"9:16 Close-up — Simple: Middle Eastern poster “Desert Call.” Close-up of wanderer Amir Khalid, face framed with Arabic calligraphy, desert glow. Title in flowing calligraphic font at bottom. Amir’s name aligned top, tagline: “The Sands Remember.” Billing block bottom. Golden desert palette."
false,40,2,"16:9 Wide — Complex: Poster for “Desert Call.” Amir Khalid crossing dunes with ally Layla Noor, calligraphic patterns flowing in the sky. Title bold bottom-center, tagline across top: “Every Step Echoes Forever.” Amir and Layla names aligned top, credits block bottom. Middle Eastern tones."
false,41,1,"9:16 Close-up — Simple: Fantasy poster “Crown of Fire.” Close-up of knight Sir Alarion Vale, armored face glowing with dragonfire reflection. Title in ornate fantasy serif at bottom. Alarion’s name aligned top, tagline: “A Kingdom Burns for Honor.” Billing block bottom. Epic mystical glow."
false,41,2,"16:9 Wide — Complex: Poster for “Crown of Fire.” Sir Alarion Vale leading charge against dragon over castle walls, banners aflame. Title bold bottom-center, tagline across top: “Where Fire Meets Steel.” Alarion’s name aligned top, credits block bottom. Grand fantasy palette."
false,42,1,"9:16 Close-up — Simple: Sci-fi dystopia poster “Neon Wasteland.” Close-up of rebel Nova Stroud, masked face under neon haze. Title in digital glitch font at bottom. Nova’s name aligned top, tagline: “Survival is Resistance.” Billing block bottom. Cold neon tones."
false,42,2,"16:9 Wide — Complex: Poster for “Neon Wasteland.” Nova Stroud leading squad across ruined cityscape, neon billboards flickering overhead. Title bottom-center, tagline across top: “The Future is Broken.” Nova’s name aligned top, credits block bottom. Dystopian palette."
false,43,1,"9:16 Close-up — Simple: Horror VHS poster “Blood Reel.” Close-up of masked slasher Ethan Graves, neon fuzz VHS distortion across mask. Title in scratched horror font at bottom. Ethan’s name aligned top, tagline: “Recorded in Fear.” Billing block bottom. VHS grain palette."
false,43,2,"16:9 Wide — Complex: Poster for “Blood Reel.” Ethan Graves stalking teens outside cabin, VHS static lines overlay scene. Title bold bottom, tagline across top: “Once You Watch, You Die.” Ethan’s name aligned top, credits block bottom. Retro VHS horror tones."
false,44,1,"9:16 Close-up — Simple: Gothic vampire poster “Crimson Eternity.” Close-up of vampire lord Lucius Draven, blood on fangs, candlelight glow. Title in gothic serif font at bottom. Lucius’s name aligned top, tagline: “Forever is the Hunger.” Billing block bottom. Gothic candlelit palette."
false,44,2,"16:9 Wide — Complex: Poster for “Crimson Eternity.” Lucius Draven standing in shadowy castle hall with vampire brides, stained glass lit in crimson. Title bold bottom-center, tagline across top: “Blood is Forever.” Lucius’s name aligned top, credits block bottom. Gothic tones."
false,45,1,"9:16 Close-up — Simple: Zombie survival poster “Last Dawn.” Close-up of survivor Mara Keene, bloodied face, eyes filled with determination. Title in cracked serif font at bottom. Mara’s name aligned top, tagline: “The End is Just Beginning.” Billing block bottom. Gritty horror tones."
false,45,2,"16:9 Wide — Complex: Poster for “Last Dawn.” Mara Keene fighting back zombies with ally Darius Holt in ruined city streets. Title bold bottom-center, tagline across top: “Survive the Night.” Mara and Darius names aligned top, credits block bottom. Decayed apocalypse palette."
false,46,1,"9:16 Close-up — Simple: Alien invasion poster “They Came From Above.” Close-up of soldier Colton Drake, terrified eyes reflecting UFO light. Title in metallic sci-fi font at bottom. Colton’s name aligned top, tagline: “The Sky Falls Tonight.” Billing block bottom. Electric sky tones."
false,46,2,"16:9 Wide — Complex: Poster for “They Came From Above.” Colton Drake leading squad against descending alien ships in battlefield chaos. Title bold bottom-center, tagline across top: “Humanity’s Last Stand.” Colton’s name aligned top, credits block bottom. Sci-fi war palette."
false,47,1,"9:16 Close-up — Simple: Romance poster “Fading Light.” Close-up of actress Elena Maris, tear on cheek, glowing sunset behind her. Title in elegant cursive at bottom. Elena’s name aligned top, tagline: “Love Never Fades.” Billing block bottom. Warm sunset tones."
false,47,2,"16:9 Wide — Complex: Poster for “Fading Light.” Elena Maris embracing Julian Crowe against glowing horizon. Title bold bottom-center, tagline above: “Two Souls, One Sunset.” Elena and Julian names aligned top, credits block bottom. Romantic golden palette."
false,48,1,"9:16 Close-up — Simple: War epic poster “Iron Valor.” Close-up of general Magnus Kane, scarred face, dirt-streaked armor. Title in bold serif military font at bottom. Magnus’s name aligned top, tagline: “Honor Written in Blood.” Billing block bottom. Smoky war tones."
false,48,2,"16:9 Wide — Complex: Poster for “Iron Valor.” Magnus Kane leading cavalry charge in battlefield, fire and smoke rising. Title bold bottom-center, tagline across top: “The Price of Victory.” Magnus’s name aligned top, credits block bottom. Epic war palette."
false,49,1,"9:16 Close-up — Simple: Sports biopic poster “Chasing Greatness.” Close-up of athlete Jordan Hale, sweat dripping, stadium lights behind. Title in bold motivational font at bottom. Jordan’s name aligned top, tagline: “Every Second Counts.” Billing block bottom. Bright energetic palette."
false,49,2,"16:9 Wide — Complex: Poster for “Chasing Greatness.” Jordan Hale sprinting on track as roaring crowd cheers, rivals chasing behind. Title bold bottom-center, tagline across top: “Run for Glory.” Jordan’s name aligned top, credits block bottom. Stadium palette."
false,50,1,"9:16 Close-up — Simple: Broadway musical poster “City of Songs.” Close-up of singer Vivienne Clarke, mouth open mid-note under spotlight. Title in vibrant glowing font at bottom. Vivienne’s name aligned top, tagline: “Every City Has a Song.” Billing block bottom. Vibrant stage palette."
false,50,2,"16:9 Wide — Complex: Poster for “City of Songs.” Vivienne Clarke leading ensemble of dancers on stage, lights flaring, colorful confetti. Title bold bottom-center, tagline across top: “Sing It to the World.” Vivienne’s name aligned top, credits block bottom. Broadway palette."
