Seq,Characters Present,Key Visual Description (with Poster Title),Lighting & Mood,Shot A (9:16 Close-up),Shot B (16:9 Wide shot)
26,Abstract shapes,“Fragmented Realities” – Abstract geometric,"Bold, colorful",Close-up of sharp angles,Entire frame filled with geometric chaos
27,Futuristic figure,“Lightform” – Hologram sci-fi poster,Futuristic glow,Close-up holographic face,Wide hologram cityscape
28,"Street artist, rebel",“Wall of Voices” – Graffiti street art poster,Urban neon & paint spray,Spray can close-up,Wall mural action scene
29,Samurai hero,“Eternal Wave” – Japanese Ukiyo-e style,Brush ink textures,Close-up of warrior with katana,Wide painted wave battle
30,Steampunk inventors,“Clockwork Empire” – Steampunk retro-futuristic,Golden brass & smoke,Goggles close-up,Wide Victorian steampunk city
31,Anime heroes,“Celestial Hearts” – Japanese anime-style poster,"Vibrant, dynamic",Hero close-up with glowing eyes,Hero squad flying through sky
32,Romantic leads,“Winter Sonata” – Korean K-drama style,Soft pastel & lens glow,Close-up of tearful lovers,Wide romantic cityscape snow scene
33,Youthful couple,“Breathless Nights” – French New Wave minimalist,Low-contrast B&W,Cigarette-lit close-up,Wide empty street corner
34,Villain silhouette,“Cabinet of Shadows” – German Expressionist,Harsh angular shadows,Sharp-eyed villain close-up,Jagged city skyline in stark contrast
35,Masked killer,“Whispered Scream” – Italian Giallo thriller,Red-yellow tension,Knife close-up with reflection,Wide crime scene with eerie lighting
36,"Cops, criminals",“Dragon Fire” – Hong Kong action poster,High-contrast urban neon,Hero close-up mid-punch,Wide rooftop chase battle
37,Worker figures,“Red Dawn” – Soviet constructivist propaganda,Bold graphic reds,Determined worker face,Wide angular constructivist crowd
38,"Skeletons, families",“Viva la Vida” – Mexican Día de los Muertos,Vibrant skull art,Painted skull face close-up,Parade of skeletons and marigolds
39,Tribal warriors,“Echoes of the Ancients” – African tribal art,"Earthy tones, symbolic",Painted warrior face close-up,Wide tribal ceremony scene
40,Calligraphy hero,“Desert Call” – Middle Eastern calligraphy,Golden desert light,Face framed with Arabic script,Sand dunes with calligraphic patterns
41,"Knights, dragons",“Crown of Fire” – Fantasy epic,Mystical glow,Knight’s armored close-up,Castle siege with dragon
42,"Rebels, soldiers",“Neon Wasteland” – Sci-fi dystopian,Cold neon & fog,Masked rebel face close-up,Towering dystopian cityscape
43,Masked slasher,“Blood Reel” – 80s VHS horror slasher,Grainy neon glow,Masked killer close-up,Teens fleeing cabin in VHS fuzz
44,Vampire lord,“Crimson Eternity” – Gothic vampire thriller,Candlelit gothic glow,Vampire fangs close-up,Castle hall full of shadows
45,"Survivors, zombies",“Last Dawn” – Zombie apocalypse,"Gritty, decayed",Survivor’s bloodied face,Horde swarming ruined city
46,"Soldiers, alien invaders",“They Came From Above” – Alien invasion,Electric sky glow,Alien eye close-up,Wide battlefield with ships descending
47,Lovers,“Fading Light” – Romance drama glow,Warm sunset tones,Lovers’ emotional close-up,Wide lovers silhouetted against horizon
48,"Soldiers, generals",“Iron Valor” – War epic historical drama,Epic smoky tones,General’s scarred face,Battlefield cavalry charge
49,Athlete,“Chasing Greatness” – Sports biopic,Bright motivational light,Athlete’s determined eyes close-up,Stadium-wide roaring crowd
50,Broadway cast,“City of Songs” – Musical Broadway-style,Vibrant spotlight glow,Singer close-up mid-note,Entire stage bursting with dancers
