shot_number,title,aspect_ratio,variation,prompt
11,Eternal Guardians,16:9,Complex,"A superhero action-adventure movie teaser trailer. A determined Adrian Cross from the poster comes to life, moving with subtle cinematic motion. They raise a shield of light as Selene Drake, Orion Vega, and Juno Reyes brace behind. The background erupts into an apocalyptic battlefield. The camera rakes across the team, then cranes up. The mood is cataclysmic yet hopeful. Text: “A New Age of Heroes.” in steel-chiseled type with lens glints. Title “ETERNAL GUARDIANS” flares on with a comet-tail. Add embers, smoke, shock-sparks, heroic bloom."
12,Shadows of Vengeance,16:9,Complex,"A dark vigilante thriller movie teaser trailer. A hardened Damien Veyne from the poster comes to life, moving with subtle cinematic motion. They step toward a roof’s edge while Malik Graves prowls below. The background seethes with storm clouds and rain-slick rooftops. The camera arcs down to frame both rooftops in opposition. The mood is ominous and charged. Text: “Vengeance Casts a Long Shadow.” in tall gothic serif with lightning flicker. Title “SHADOWS OF VENGEANCE” fades up through rain. Add hard rain, mist plumes, thunder strobes."
13,Starbound Legacy,16:9,Complex,"A space-opera epic movie teaser trailer. A steadfast Kaelen Drax from the poster comes to life, moving with subtle cinematic motion. They meet a crossing strike with villain Veyra Kael as starfleet silhouettes burn behind. The background erupts with ion bursts and nebula dust. The camera sweeps a battlefield arc, then punches toward the duel. The mood is vast and operatic. Text: “Destiny Written in the Cosmos.” in radiant serif. Title “STARBOUND LEGACY” starlines across and settles with a sunflare. Add ion sparks, vapor trails, cosmic glitter."
14,Turbo Fury,16:9,Complex,"A high-octane street-racing action movie teaser trailer. A focused Dante Cruz from the poster comes to life, moving with subtle cinematic motion. They lead Maya Storm and Rico Valdez in a synchronized airborne jump. The background explodes with barriers and neon signage. The camera hard-tracks, then whip-pans to the trio mid-flight. The mood is adrenaline-fueled. Text: “Ride or Burn Out.” in bold slanted block. Title “TURBO FURY” rips across with a flame-edge reveal. Add debris sparks, headlight flares, tire smoke."
15,Wonderville,16:9,Complex,"A family adventure animation movie teaser trailer. A beaming Lumi Spark from the poster comes to life, moving with subtle cinematic motion. They lead friends Pip, Zara, and Milo into a candy-colored town square. The background twinkles with banners, balloons, and friendly creatures. The camera arcs in a small crane to reveal the square. The mood is adventurous and joyous. Text: “Adventure Begins Here.” in rounded marquee type. Title “WONDERVILLE” bounces into center with confetti bursts. Add sparkles, dust motes, gentle haze."
16,Happy Chaos,16:9,Complex,"A whimsical family comedy movie teaser trailer. A chuckling Benny Bumble from the poster comes to life, moving with subtle cinematic motion. They chase tumbling suitcases as Lola, Timmy, and Grandpa Gus careen through a living-room calamity. The background becomes a maze of toppled furniture and flying cushions. The camera tracks with playful whip-pans between gags. The mood is chaotic and endearing. Text: “One House, Endless Laughs.” in big cheerful block letters. Title “HAPPY CHAOS” pops and jiggles into place. Add paper confetti, dust puffs, gentle grain."
17,License to Thrill,16:9,Complex,"A sleek spy thriller movie teaser trailer. A composed Julian Drake from the poster comes to life, moving with subtle cinematic motion. They exchange a sly look with Selina Frost at a baccarat table as a car chase flashes on monitors. The background mixes neon city views and mirrored columns. The camera tracks around the table, then tilt-zooms to the screens. The mood is glamorous and perilous. Text: “Every Bet is Life or Death.” in elegant serif with glassy refraction. Title “LICENSE TO THRILL” snaps into place with a metallic click. Add light leaks, smoke curls, glittered bokeh."
18,The Last Mark,16:9,Complex,"A neo-noir assassin thriller movie teaser trailer. A focused Victor Kael from the poster comes to life, moving with subtle cinematic motion. They walk down a neon-lit corridor past fallen enemies glinting in reflections. The background recedes in cyan-magenta lights and puddled floors. The camera tracks backward in centered one-point perspective. The mood is clinical and lethal. Text: “No Past. No Future. Only the Mark.” in mono neon with scanline jitter. Title “THE LAST MARK” glitches in and locks. Add chromatic noise, light streaks, vapor haze."
19,Shadow Protocol,16:9,Complex,"A spy-action thriller movie teaser trailer. A determined Ethan Cross from the poster comes to life, moving with subtle cinematic motion. They dangle from a skyscraper facade as a helicopter roars overhead. The background reveals a dizzying city grid far below, searchlights raking the glass. The camera drops in a vertiginous tilt-down, then whips up to the chopper. The mood is perilous and breathless. Text: “Trust No One.” in stark, high-contrast sans. Title “SHADOW PROTOCOL” burns in with a white-hot flare. Add wind debris, light sweeps, grain, micro shake."
20,Lumina,16:9,Complex,"A bioluminescent sci-fi fantasy movie teaser trailer. A curious Naara Veyra from the poster comes to life, moving with subtle cinematic motion. They step through glowing ferns beside ally Orin Tal as gentle creatures weave light trails. The background reveals a vast phosphorescent jungle alive with biolight rivers. The camera tracks alongside, then rises to unveil the valley. The mood is wondrous and expansive. Text: “A World Beyond the Stars.” in glowing serif. Title “LUMINA” flares on with a ripple through the letters. Add spore particles, soft beams, floating pollen."
21,Less is More,16:9,Complex,"A minimalist drama movie teaser trailer. A solitary Amara Steele from the poster comes to life, moving with subtle cinematic motion. They walk across an immense, nearly empty desert. The background holds vast negative space with a distant heat-blurred ridge. The camera tracks slowly parallel, then eases into a gentle crane up. The mood is spare and meditative. Text: “Every Step is a Story.” in hairline sans. Title “LESS IS MORE” appears via simple cut-on at bottom-center. Add fine grain, heat shimmer, soft wind-borne dust."
22,Eternal Mirage,16:9,Complex,"A surrealist dream movie teaser trailer. A wandering Lucien Vale from the poster comes to life, moving with subtle cinematic motion. They reach toward a giant clock sagging over a dune. The background is a desert of melting clocks, elongated shadows, distorted suns. The camera tracking-walks beside Lucien, then arcs to reveal multiple horizons. The mood is enigmatic and uncanny. Text: “Where Reality Ends, Dreams Begin.” in elongated serif. Title “ETERNAL MIRAGE” fades in with a heat-haze ripple. Add sand shimmer, soft smoke whorls, faint scratches."
23,Through the Veil,16:9,Complex,"A lyrical art-drama movie teaser trailer. A pensive Selene Ardent from the poster comes to life, moving with subtle cinematic motion. They step forward as a skyline dissolves into dense forest. The background alternates city bokeh with drifting woodland fog. The camera glides laterally, blending environments with cross-fades. The mood is mystical and reflective. Text: “Nature and Memory Collide.” in refined serif. Title “THROUGH THE VEIL” emerges as city lights spill into trees. Add soft fog, pollen motes, fine grain."
24,Lost in Signal,16:9,Complex,"A vaporwave cyber-aesthetic movie teaser trailer. A contemplative Kieran Flux from the poster comes to life, moving with subtle cinematic motion. They walk a neon street as skyscrapers warp with VHS jitter. The background is a pastel-night city with looping sunsets and cassette textures. The camera tracks with Kieran, then cranes to scrolling billboards. The mood is nostalgic and weightless. Text: “Reality Distorts.” in retro grid letters. Title “LOST IN SIGNAL” phase-wipes in with tape flutter. Add CRT roll, vapor mist, light grain."
25,Broken Code,16:9,Complex,"A glitch-horror movie teaser trailer. A frightened Maya Crowe from the poster comes to life, moving with subtle cinematic motion. They stumble through a room of flickering screens showing distorted doubles. The background warps with looping corridors, signal loss, specter-artifacts. The camera tracks with micro-jumps and smear trails. The mood is paranoid and malignant. Text: “Every Error Has a Price.” in terminal-green monospace that tears. Title “BROKEN CODE” scrapes in with CRT collapse. Add static snow, glitch bands, compression blocks."
26,Fragmented Realities,16:9,Complex,"A conceptual abstract movie teaser trailer. A focused Niko Veyran from the poster comes to life, moving with subtle cinematic motion. They step forward as colossal floating shapes pivot and lock. The background is a gallery of hovering prisms and planes under a color-shifting sky. The camera orbits, then cranes to reveal the shifting composition. The mood is austere and awe-inspiring. Text: “Chaos Takes Form.” in modular sans. Title “FRAGMENTED REALITIES” snaps together piece by piece. Add prism flares, paper specks, soft hum."
27,Lightform,16:9,Complex,"A futuristic hologram movie teaser trailer. A curious Auriel Kaine from the poster comes to life, moving with subtle cinematic motion. They walk through semi-transparent structures that flicker in and out. The background reveals shifting hologram buildings and archways. The camera tracks beside, then lifts to show a luminous skyline. The mood is wondrous and weightless. Text: “When Reality is Light.” in sleek geometric type. Title “LIGHTFORM” phases in with a gentle pulse. Add light motes, soft scanlines, lens bloom."
28,Wall of Voices,16:9,Complex,"A graffiti street-art movie teaser trailer. A fired-up Diego Cruz from the poster comes to life, moving with subtle cinematic motion. They paint a massive mural as Rosa Vega rollers a background fill and passersby cheer. The background glows with neon signage and wet cobbles. The camera tracks along the wall, revealing the mural expanding. The mood is communal and triumphant. Text: “The Streets Remember.” in bold stencil with drips. Title “WALL OF VOICES” splashes on with layered wipes. Add spray haze, paint flecks, smoke wisps."
29,Eternal Wave,16:9,Complex,"A ukiyo-e samurai drama movie teaser trailer. A resolved Kenji Arata from the poster comes to life, moving with subtle cinematic motion. They step onto a cliff as stylized waves crash and foes gather. The background shows a storm-swept coastline, pine silhouettes, layered woodblock clouds. The camera arcs to reveal the sea’s expanse, then settles behind Kenji. The mood is stoic and epic. Text: “The Sea Remembers the Warrior.” in bold brush script. Title “ETERNAL WAVE” rolls in like a cresting wave. Add mist spray, ink splatter, deckle-edge texture."
30,Clockwork Empire,16:9,Complex,"A steampunk retro-futurist movie teaser trailer. A resourceful Alaric Dross from the poster comes to life, moving with subtle cinematic motion. They stand with ally Clara Hensley on a balcony above airship-crowded skies. The background glows with smokestacks and lattice towers. The camera cranes outward to reveal the sprawling city. The mood is grand and inventive. Text: “A Machine to Rule Them All.” in ornate brass titling. Title “CLOCKWORK EMPIRE” locks together with rotating gears. Add steam vapor, soot motes, spark pops."
31,Celestial Hearts,16:9,Complex,"A shōnen fantasy anime movie teaser trailer. A resolute Aiko Hanari from the poster comes to life, moving with subtle cinematic motion. They launch skyward with Ryu Takeda and Mei Sora as energy wings unfurl. The background blooms into a radiant sky battlefield with drifting sigils. The camera arcs behind the trio, then surges into the clouds. The mood is exultant and epic. Text: “A Battle Written in the Stars.” in brush-stroke anime titling. Title “CELESTIAL HEARTS” slashes on with speed lines. Add spark trails, cel-style bloom, glitter dust."
32,Winter Sonata,16:9,Complex,"A romantic K-drama movie teaser trailer. A warm Ji-eun Park from the poster comes to life, moving with subtle cinematic motion. They walk hand-in-hand with Min-ho Choi under snowy streetlights. The background features cozy shop windows and distant carols. The camera tracks beside, then cranes to reveal the glowing street. The mood is tender and hopeful. Text: “Two Hearts, One Winter.” in flowing script. Title “WINTER SONATA” settles at bottom-center with a snow-drift wipe. Add snow particles, warm bokeh, gentle haze."
33,Breathless Nights,16:9,Complex,"A French New Wave romance-noir movie teaser trailer. A pensive Camille Laurent from the poster comes to life, moving with subtle cinematic motion. They pause with lover Jean-Claude Marais under a streetlamp. The background shows slick cobbles, long shadows, a passing 2CV silhouette. The camera tracks laterally, freeze-frames briefly, then continues. The mood is melancholic and cool. Text: “Every Breath Holds a Secret.” in clean mid-century sans. Title “BREATHLESS NIGHTS” type-writes on. Add grain, lamplight haze, projector chatter."
34,Cabinet of Shadows,16:9,Complex,"A German expressionist horror movie teaser trailer. A looming Erich Nacht from the poster comes to life, moving with subtle cinematic motion. They spread their arms as the city warps into skewed silhouettes. The background twists with oblique rooftops and painted shadows. The camera swings on a wide Dutch arc. The mood is oppressive and theatrical. Text: “The City Knows No Light.” in elongated gothic serif. Title “CABINET OF SHADOWS” slides in as a long black wedge. Add scratchy grain, flicker frames, smoke wisps."
35,Whispered Scream,16:9,Complex,"A Giallo slasher mystery movie teaser trailer. A stalking Alessandro Nero from the poster comes to life, moving with subtle cinematic motion. They advance through an alley as Lucia Moretti backs toward a doorway. The background drips with yellow sodium glare and smeared neon. The camera tracks obliquely, revealing the knife first, then the mask. The mood is predatory and stylish. Text: “Murder Speaks Louder Than Words.” in high-contrast vintage serif. Title “WHISPERED SCREAM” appears with a blood-drip crawl. Add rain streaks, fog wisps, 70s grain."
36,Dragon Fire,16:9,Complex,"A Hong Kong action-crime movie teaser trailer. A driven Kai Wong from the poster comes to life, moving with subtle cinematic motion. They trade blows with thugs as ally Mei Lin vaults across AC units. The background spreads into a neon skyline and helipad beams. The camera tracks fast across the rooftop and snaps to a wide reveal. The mood is restless and heroic. Text: “Justice in Every Strike.” in angular sans. Title “DRAGON FIRE” ignites across the screen. Add sparks, wind shear, rain haze."
37,Red Dawn,16:9,Complex,"A constructivist revolutionary drama movie teaser trailer. A resolute Anya Volkov from the poster comes to life, moving with subtle cinematic motion. They stride atop a platform as workers surge, flags cutting the sky. The background fills with angular cranes, sunbursts, poster grids. The camera rakes across the crowd, then cranes to a towering tableau. The mood is collective and monumental. Text: “Strength in Unity.” in industrial sans. Title “RED DAWN” unfurls as a red banner. Add paper texture, chalk dust, bold light rays."
38,Viva la Vida,16:9,Complex,"A Día de los Muertos celebration drama movie teaser trailer. A radiant Isabela Cruz from the poster comes to life, moving with subtle cinematic motion. They lead skeleton dancers down a lantern-lit street as fireworks sparkle. The background is a vibrant procession with musicians and altars. The camera cranes overhead, then dips to follow the parade. The mood is exuberant and reverent. Text: “Life is the Celebration.” in festive script with papel-picado cut-outs. Title “VIVA LA VIDA” ribbons across in bright papel wipes. Add sparkles, smoke wisps, petal flurries."
39,Echoes of the Ancients,16:9,Complex,"A mythic heritage drama movie teaser trailer. A steadfast Nia Kamanzi from the poster comes to life, moving with subtle cinematic motion. They step into a ceremonial circle as elders raise masks and the fire swells. The background reveals patterned textiles and carved totems under a star-rich sky. The camera orbits the circle, then rises to frame the ritual geometry. The mood is ancestral and awe-filled. Text: “A Legacy Written in Fire.” in chiselled serif with ember glow. Title “ECHOES OF THE ANCIENTS” beats in with drum-sync reveals. Add embers, smoke curls, earth dust."
40,Desert Call,16:9,Complex,"A desert odyssey drama movie teaser trailer. A resolute Amir Khalid from the poster comes to life, moving with subtle cinematic motion. They cross a dune ridge beside ally Layla Noor as wind inscribes calligraphic swirls in the sky. The background reveals caravan silhouettes and distant ruins. The camera tracks along the ridge, then lifts to a vast horizon. The mood is spacious and contemplative. Text: “Every Step Echoes Forever.” in elegant calligraphy. Title “DESERT CALL” unfurls like a banner in the wind. Add sand drift, warm lens glow, mirage shimmer."
41,Crown of Fire,16:9,Complex,"A fantasy epic movie teaser trailer. A valiant Sir Alarion Vale from the poster comes to life, moving with subtle cinematic motion. They lead a charge across castle ramparts as a dragon dives overhead. The background blazes with banners, siege fire, and stormy clouds. The camera rises from soldiers to the dragon, then drops behind Alarion. The mood is grand and heroic. Text: “A Kingdom Burns for Honor.” in ornate fantasy serif. Title “CROWN OF FIRE” flares in with ember trails. Add ember fall, smoke plumes, magical glow."
42,Neon Wasteland,16:9,Complex,"A sci-fi dystopian movie teaser trailer. A masked rebel Nova Stroud from the poster comes to life, moving with subtle cinematic motion. They lead a squad through ruined avenues under glitching billboards. The background flares with broken holograms and cold neon haze. The camera shoulder-tracks through debris, then tilts to towering screens. The mood is grim and defiant. Text: “Survival is Resistance.” in digital glitch sans. Title “NEON WASTELAND” glitches in, stabilizes. Add static bands, ash dust, neon mist."
43,Blood Reel,16:9,Complex,"A retro VHS slasher horror movie teaser trailer. A looming Ethan Graves in a cracked mask from the poster comes to life, moving with subtle cinematic motion. They stalk teens outside a cabin as VHS static crawls across the frame. The background bleeds with magenta-cyan noise and warped tracking lines. The camera slow-tracks with sudden micro-jolts. The mood is menacing and pulpy. Text: “Once You Watch, You Die.” in scratched horror font. Title “BLOOD REEL” tears on with tape-drag. Add VHS speckle, analog flicker, fog wisps."
44,Crimson Eternity,16:9,Complex,"A gothic vampire thriller movie teaser trailer. A regal Lucius Draven from the poster comes to life, moving with subtle cinematic motion. They stride through a candlelit hall as vampire brides drift near. The background glows with stained glass and sweeping shadows. The camera glides alongside, then cranes to a vaulted ceiling. The mood is seductive and foreboding. Text: “Forever is the Hunger.” in gothic serif. Title “CRIMSON ETERNITY” bleeds in from the edges. Add candle flicker, drifting ash, dark haze."
45,Last Dawn,16:9,Complex,"A zombie apocalypse survival movie teaser trailer. A battle-scarred Mara Keene from the poster comes to life, moving with subtle cinematic motion. They hack through a horde beside ally Darius Holt. The background is a ruined city with fires and sirens. The camera handheld tracks, then snaps to a wide reveal of the street. The mood is desperate and fierce. Text: “The End is Just Beginning.” in cracked serif. Title “LAST DAWN” slams on with debris dust. Add soot, sparks, rain, gritty grain."
46,They Came From Above,16:9,Complex,"A sci-fi invasion horror movie teaser trailer. A startled Colton Drake from the poster comes to life, moving with subtle cinematic motion. They lead a squad as saucers descend in beams. The background erupts with searchlights, panic, and shockwaves. The camera races across trenches, then tilts to a blazing sky. The mood is urgent and catastrophic. Text: “The Sky Falls Tonight.” in metallic sci-fi type. Title “THEY CAME FROM ABOVE” powers in with a beam sweep. Add electric arcs, dust blasts, lens flares."
47,Fading Light,16:9,Complex,"A romance drama movie teaser trailer. A tear-touched Elena Maris from the poster comes to life, moving with subtle cinematic motion. They embrace Julian Crowe against a glowing horizon. The background sinks into golden hour clouds. The camera slides past their shoulders into a warm silhouette. The mood is tender and wistful. Text: “Love Never Fades.” in elegant cursive. Title “FADING LIGHT” fades in with soft flare. Add sun motes, lens bloom, gentle grain."
48,Iron Valor,16:9,Complex,"A war epic historical drama movie teaser trailer. A scarred general Magnus Kane from the poster comes to life, moving with subtle cinematic motion. They lead a cavalry charge through smoke and fire. The background erupts with banners, mud, and artillery haze. The camera races alongside, then cranes to battlefield scope. The mood is somber and heroic. Text: “Honor Written in Blood.” in bold military serif. Title “IRON VALOR” pounds on with drum hits. Add ash, ember fall, muddy grit, rolling grain."
49,Chasing Greatness,16:9,Complex,"A sports biopic movie teaser trailer. A driven Jordan Hale from the poster comes to life, moving with subtle cinematic motion. They explode from the blocks as rivals chase. The background roars with a stadium crowd under bright arcs. The camera tracks low on the lane, then lifts to the scoreboard. The mood is motivational and electrifying. Text: “Every Second Counts.” in bold motivational type. Title “CHASING GREATNESS” swings in with a stadium-light sweep. Add sweat spray, chalk dust, LED flicker."
50,City of Songs,16:9,Complex,"A Broadway musical movie teaser trailer. A radiant Vivienne Clarke from the poster comes to life, moving with subtle cinematic motion. They lead an ensemble of dancers as spotlights bloom. The background fills with stage lights, confetti, and layered set pieces. The camera glides from the pit to a wide stage reveal. The mood is vibrant and triumphant. Text: “Every City Has a Song.” in glowing marquee letters. Title “CITY OF SONGS” pops on with a glitter burst. Add vignette, light beams, lens flares, paper confetti."
